UNIQUD,NAME,MPP,CMP,GMP,MEP,EryA,Gn
NM_001195128,Gm5294,0.1312,0,0,0,0,0.3727
NM_029759,Mtfr1l,139.2431,180.1852,192.3963,479.234,61.2743,74.7505
NM_022881,Rgs18,45.9399,161.6853,108.839,86.8225,1.5071,11.1917
NM_053197,Sfxn3,54.1988,97.4279,63.4,106.9307,31.6426,31.5972
NM_001081205,Nipal1,2.0991,0,0.3665,2.4105,0,3.5403
NM_172876,Gpatch3,17.8465,32.1269,20.8888,44.2254,23.106,17.3904
NM_001081402,Wdr70,73.2358,105.4625,100.0423,195.3825,73.8246,28.9037
NM_173769,Zfp641,0,0,0,0,0,0.2347
NM_011807,Dlg2,57.0813,17.1127,3.2978,12.0547,12.5552,49.7227
NM_001271580,4930426D05Rik,1.5744,0,0,0,15.5682,3.5216
NM_001039555,Cyp2c68,0.1314,0,0,0,0,0
NM_001271679,Wnk3,1.4434,0.3495,0,0.8048,0,0
NM_001198809,Sfmbt2,2.4933,3.8407,0.7331,0,0.5025,1.7833
NM_001161432,Eda2r,4.3303,1.0473,2.1988,0.8048,7.0331,0.1175
NM_001161730,Tap1,947.68,881.3364,694.4549,1196.4584,225.0258,377.1806
NM_138607,Fam50a,128.7392,166.9138,174.4377,396.388,278.751,52.2876
NM_146881,Olfr1404,0,0,0,0,0,0
NM_009223,Snn,107.7269,48.5364,13.1915,11.2593,39.6764,30.0707
NM_029162,Zbtb49,19.0315,13.2674,29.3178,49.8457,3.0141,6.0094
NM_001145954,Lpp,48.6869,73.3348,37.0107,17.6949,11.0491,74.0232
NR_045358,4930556N09Rik,1.8373,0.349,0,0,0,0
NM_020572,Aurkc,0,0,0,0,0,0
NM_001005605,Aebp2,169.2782,271.318,293.5476,590.9657,66.3012,134.5087
NR_038163,5730457N03Rik,0,0,0,0,0,0
NM_007378,Abca4,6.4297,3.1432,0.7328,3.214,0.5025,0.1761
NM_001285982,Fam173a,300.3835,254.9068,295.3728,447.0437,176.2899,57.5731
NR_035502,Mir1981,0.2624,0.3494,0.3665,2.4118,0.5025,0.0391
NM_153404,Liph,0.3936,0.3491,1.4661,3.2153,6.0271,0.1956
NM_146362,Olfr1312,0,0,0,0,0,0
NM_001101430,Psmg4,238.1946,281.7974,303.4384,480.7924,46.2077,43.3786
NM_212468,Ssbp1,116.2778,160.6261,185.8018,290.2571,13.5574,9.0813
NM_019987,Ick,70.6025,82.7616,69.9904,140.7107,21.5957,3.678
NM_001001980,Limch1,13.3832,6.2853,1.8322,8.04,2.0095,3.8736
NM_178676,Entpd3,6.0353,0.3494,0,0.8035,1.5065,4.5479
NM_001105076,Vmn2r46,0,0,0,0,0,0
NM_011318,Apcs,0,0,0,0,0,0
NM_001039510,Adora1,0.9184,0,0,0,0,0.0782
NM_001130169,Zfp207,244.6251,432.9943,420.702,1021.8952,268.6978,82.6768
NM_021499,Wrap73,69.4137,88.0009,90.5146,394.7773,140.1225,22.0264
NM_001168591,Lonp2,79.7925,136.538,123.8569,302.3264,34.6523,75.5374
NM_001166634,Gm4302,0,0,0,0,0,0
NR_034048,Snora81,0,0,0,0,0,0.0391
NM_001164558,Pdzk1ip1,20.0765,26.54,6.2292,160.0058,3459.8489,6.9222
NM_018761,Ctnnal1,10.7616,21.3018,13.5589,20.0986,8.5371,1.3889
NM_001161356,Timd2,0.2624,0,0,0,0,0.3325
NM_001110320,Cd72,101.2978,31.4279,19.0554,7.2365,43.6929,48.9312
NM_177233,Fam19a4,2.4928,2.794,4.0313,3.2166,2.5116,2.9556
NR_040704,4930563F08Rik,0,0,0,0,0,0
NM_001253877,Mtf2,166.0361,391.4554,377.8176,508.892,80.3564,22.7436
NM_001177580,Gm13308,0,0,0,0,0,0
NM_028621,Krtap21-1,0,0,0,0,0,0
NR_040731,4933407I05Rik,1.312,0.6986,0,0,0,0
NM_146794,Olfr1263,0,0,0,0,0,0
NM_009123,Nkx1-2,0,0,0,0,0,0
NM_173786,Apol9a,0,0,0,0.8035,0,0
NM_001163185,Plekhb1,0.5248,0.3491,0,0,0,0
NM_001172472,Sphk1,7.0855,10.1267,6.5963,2249.7416,532.907,0.6864
